"";"nhsn_code";"procedimiento_qx";"descripcion";"cie10"
"1";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04B00ZZ"
"2";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04B04ZZ"
"3";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R007Z"
"4";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R00JZ"
"5";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R00KZ"
"6";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R047Z"
"7";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R04JZ"
"8";"AAA";"Reparación de aneurisma de aorta abdominal";"Resección de la aorta abdominal con anastomosis o reemplazo de lamisma";"04R04KZ"
"9";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X600ZZ"
"10";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X610ZZ"
"11";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X620ZZ"
"12";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X630ZZ"
"13";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X680Z1"
"14";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X680Z2"
"15";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X680Z3"
"16";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X690Z1"
"17";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X690Z2"
"18";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X690Z3"
"19";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6B0ZZ"
"20";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6C0ZZ"
"21";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6D0Z1"
"22";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6D0Z2"
"23";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6D0Z3"
"24";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6F0Z1"
"25";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6F0Z2"
"26";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6F0Z3"
"27";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z0"
"28";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z4"
"29";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z5"
"30";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z6"
"31";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z7"
"32";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z8"
"33";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0Z9"
"34";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0ZB"
"35";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0ZC"
"36";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0ZD"
"37";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6J0ZF"
"38";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z0"
"39";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z4"
"40";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z5"
"41";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z6"
"42";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z7"
"43";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z8"
"44";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0Z9"
"45";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0ZB"
"46";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0ZC"
"47";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0ZD"
"48";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6K0ZF"
"49";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6L0Z0"
"50";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6L0Z1"
"51";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6L0Z2"
"52";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6L0Z3"
"53";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6M0Z0"
"54";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6M0Z1"
"55";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6M0Z2"
"56";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6M0Z3"
"57";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6N0Z0"
"58";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6N0Z1"
"59";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6N0Z2"
"60";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6N0Z3"
"61";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6P0Z0"
"62";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6P0Z1"
"63";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6P0Z2"
"64";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6P0Z3"
"65";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6Q0Z0"
"66";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6Q0Z1"
"67";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6Q0Z2"
"68";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6Q0Z3"
"69";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6R0Z0"
"70";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6R0Z1"
"71";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6R0Z2"
"72";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6R0Z3"
"73";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6S0Z0"
"74";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6S0Z1"
"75";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6S0Z2"
"76";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6S0Z3"
"77";"AMP";"Amputación de extremidad";"Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos";"0X6T0Z0"
