MICRO;DESCRIPTION
ACHSPP;Achromobacter spp.
ACIBAU;Acinetobacter baumannii
ACICAL;Acinetobacter calcoaceticus
ACIHAE;Acinetobacter haemolyticus
ACILWO;Acinetobacter lwoffii
ACINSP;Acinetobacter spp., not specified
ACIOTH;Acinetobacter spp., other
ACTSPP;Actinomyces spp.
AEMSPP;Aeromonas spp.
AGRSPP;Agrobacterium spp.
ALCSPP;Alcaligenes spp.
ANANSP;Anaerobes, not specified
ANAOTH;Other anaerobes
ASPFUM;Aspergillus fumigatus
ASPNIG;Aspergillus niger
ASPNSP;Aspergillus spp., not specified
ASPOTH;Aspergillus spp., other
BACSPP;Bacillus spp.
BATFRA;Bacteroïdes fragilis
BATOTH;Bacteroïdes other
BCTOTH;Other bacteria
BURCEP;Burkholderia cepacia
CAMSPP;Campylobacter spp.
CANALB;Candida albicans
CANGLA;Candida glabrata
CANKRU;Candida krusei
CANNSP;Candida spp., not specified
CANOTH;Candida spp., other
CANPAR;Candida parapsilosis
CANTRO;Candida tropicalis
CHLSPP;Chlamydia spp.
CITDIV;Citrobacter koseri (e.g. diversus)
CITFRE;Citrobacter freundii
CITNSP;Citrobacter spp., not specified
CITOTH;Citrobacter spp., other
CLODIF;Clostridium difficile
CLOOTH;Clostridium other
CORSPP;Corynebacterium spp.
ENBAER;Enterobacter aerogenes
ENBAGG;Enterobacter agglomerans
ENBCLO;Enterobacter cloacae
ENBGER;Enterobacter gergoviae
ENBNSP;Enterobacter spp., not specified
ENBOTH;Enterobacter spp., other
ENBSAK;Enterobacter sakazakii
ENCFAE;Enterococcus faecalis
ENCFAI;Enterococcus faecium
ENCNSP;Enterococcus spp., not specified
ENCOTH;Enterococcus spp., other
ESCCOL;Escherichia coli
ETBNSP;Enterobacteriaceae, not specified
ETBOTH;Other enterobacteriaceae
FILOTH;Filaments other
FLASPP;Flavobacterium spp.
FUNOTH;Fungi other
GARSPP;Gardnerella spp.
GNBNSP;Gram-neg Bacilli, not specified
GNBOTH;Other Gram-neg Bacilli, non enterobacteriaceae
GNCNSP;Gram-negative cocci, not specified
GNCOTH;Other Gram-negative cocci
GPBNSP;Gram-positive bacilli, not specified
GPBOTH;Other Gram-positive bacilli
GPCNSP;Gram-positive cocci, not specified
GPCOTH;Other Gram-positive cocci
HAEINF;Haemophilus influenzae
HAENSP;Haemophilus spp., not specified
HAEOTH;Haemophilus spp., other
HAEPAI;Haemophilus parainfluenzae
HAFSPP;Hafnia spp.
HELPYL;Helicobacter pylori
KLENSP;Klebsiella spp., not specified
KLEOTH;Klebsiella spp., other
KLEOXY;Klebsiella oxytoca
KLEPNE;Klebsiella pneumoniae
LACSPP;Lactobacillus spp.
LEGSPP;Legionella spp.
LISMON;Listeria monocytogenes
MOGSPP;Morganella spp.
MORCAT;Moraxella catharralis
MORNSP;Moraxella spp., not specified
MOROTH;Moraxella spp., other
MYCATY;Mycobacterium, atypical
MYCTUB;Mycobacterium tuberculosis complex
MYPSPP;Mycoplasma spp.
NEIMEN;Neisseria meningitidis
NEINSP;Neisseria spp., not specified
NEIOTH;Neisseria spp., other
NOCSPP;Nocardia spp.
PAROTH;Other parasites
PASSPP;Pasteurella spp.
PRESPP;Prevotella spp.
PROSPP;Propionibacterium spp.
PRTMIR;Proteus mirabilis
PRTNSP;Proteus spp., not specified
PRTOTH;Proteus spp., other
PRTVUL;Proteus vulgaris
PRVSPP;Providencia spp.
PSEAER;Pseudomonas aeruginosa
PSENSP;Pseudomonadaceae family, not specified
PSEOTH;Pseudomonadaceae family, other
SALENT;Salmonella enteritidis
SALNSP;Salmonella spp., not specified
SALOTH;Salmonella spp., other
SALTYM;Salmonella typhimurium
SALTYP;Salmonella typhi or paratyphi
SERLIQ;Serratia liquefaciens
SERMAR;Serratia marcescens
SERNSP;Serratia spp., not specified
SEROTH;Serratia spp., other
SHISPP;Shigella spp.
STAAUR;Staphylococcus aureus
STACNS;Coag-neg. staphylococci, not specified
STAEPI;Staphylococcus epidermidis
STAHAE;Staphylococcus haemolyticus
STANSP;Staphylococcus spp., not specified
STAOTH;Other coagulase-negative staphylococci (CNS)
STEMAL;Stenotrophomonas maltophilia
STRAGA;Streptococcus agalactiae (B)
STRHCG;Other haemol. Streptococcae (C, G)
STRNSP;Streptococcus spp., not specified
STROTH;Streptococcus spp., other
STRPNE;Streptococcus pneumoniae
STRPYO;Streptococcus pyogenes (A)
VIRADV;Adenovirus
VIRCMV;Cytomegalovirus (CMV)
VIRENT;Enterovirus (polio, coxsackie, echo)
VIRHAV;Hepatitis A virus
VIRHBV;Hepatitis B virus
VIRHCV;Hepatitis C virus
VIRHIV;Human immunodeficiency virus (HIV)
VIRHSV;Herpes simplex virus
VIRINA;Influenza A virus
VIRINB;Influenza B virus
VIRINC;Influenza C virus
VIRNOR;Norovirus
VIRNSP;Virus, not specified
VIROTH;Other virus
VIRPIV;Parainfluenzavirus
VIRRHI;Rhinovirus
VIRROT;Rotavirus
VIRRSV;Respiratory syncytial virus (RSV)
VIRSAR;SARS virus
VIRVZV;Varicella-zoster virus
YEAOTH;Other yeasts
YERSPP;Yersinia spp.
CANAUR;Candida auris
NONID;Micro-organism not identified
NA;Result not (yet) available or missing
NOEXA;Examination not done
STERI;Sterile examination
